type_id,manufacturer,model,series
LMK1,Construction Aéronautique de Technologie Avancée,CATA LMK-1 Oryx,LMK1
LNT4,Lancair International Inc,Lancair Sentry 4T,LNT4
LR2T,Load Ranger Inc,Load Ranger 2000,LR2T
LUL7,Emile Lucas,Lucas L-7,LUL7
LUL8,Emile Lucas,Lucas L-8,LUL8
LV51,Lavia Argentina SA,Laviasa LAV-51 Super Master,LV51
M1SC,International High Performance Aircraft Inc,HPA M-1 SpeedCruiser,M1SC
M203,Myasishchev OKB,Myasishchev M-203 Barsuk,M203
M360,Aircraft Technologies Inc,Aircraft Technologies Meyer-360,M360
M74,Texas Helicopter Corporation,Texas Helicopter M-74 Wasp,M74
M8,"Maule Air, Inc",Maule M-8,M8
M9,"Maule Air, Inc",Maule M-9,M9
MA6H,Xi'an Aircraft Industrial Corporation,Xian MA-60H,MA6H
MEAD,George Mead,Mead Adventure,MEAD
MERK,Aviaton Nauchno-Proizvodstvennaya Aviatsionnaya Firma,Aviaton Merkury,MERK
MEXP,Merlin Aircraft Inc,Merlin Explorer,MEXP
MGIC,Kaiser Flugzeugbau GmbH,Kaiser Magic,MGIC
MGNM,Aviation Enterprises Ltd,Aviation Enterprises Magnum,MGNM
MLER,Pentti Alanne,Alanne Moottori-Lerche,MLER
MM14,Magni Gyro di Vittorio Magni,Magni M-14 Scout,MM14
MM19,Magni Gyro di Vittorio Magni,Magni M-19 Shark,MM19
MM21,Magni Gyro di Vittorio Magni,Magni M-21,MM21
MMAX,Mad Max Aero,Mad Max Aero Mad Max,MMAX
MMUT,Mara Wing,Mara Wing L-1 Malamut,MMUT
MOCU,Culps Specialties,Culp MonoCulp,MOCU
MR25,Murphy Aircraft Manufacturing,Murphy Super Rebel,MR25
MS18,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata MS-200FG Morane,MS18
MS25,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata MS-200RG Morane,MS25
MS30,SOCATA (Société de Construction d'Avions de Tourisme et d'Af.),Socata MS-300 Epsilon 2,MS30
MVN1,Mven OOO,Mven 1 Fermer,MVN1
MX10,Agro-Copteros Ltda,Agro-Copteros MXP-100 Aventura,MX10
MX65,Agro-Copteros Ltda,Agro-Copteros MXP-650 Amigo,MX65
MX80,Aeroandina SA,Aeroandina MXP-800 Fantasy,MX80
NA40,Unis Obchodni spol sro,Unis NA-40 Bongo,NA40
NAL2,National Aerospace Laboratories (NAL),NALLA-2 Hansa,NAL2
NHCO,New Horizons Aircraft Inc,New Horizons 01 Colibri,NHCO
NMCU,Empresa Nacional de Aeronáutica,ENAER ECH-02 Namcu,NMCU
NT10,NuWaco Aircraft Company Inc,Nuwaco T-10,NT10
OM1,Morrisey Aircraft Corporation,Morrisey OM-1 Bravo,OM1
OMAG,O'Neill Airplane Company,O'Neill Magnum,OMAG
OMGA,Integrated Systems Aero Engineering Inc,ISAE Omega 2,OMGA
ONE,C2P doo,C2P One,ONE
OR10,Orion Avia ooo,Orion 10,OR10
OR12,Orion Avia ooo,Orion SK-12,OR12
OVOD,Kompaniya Vitek,Vitek Ovod,OVOD
P130,Avions Pottier,Pottier P-130 Bleu Citron,P130
P27,Gryf Aircraft spol sro,Gryf P-27 Skyster,P27
P60,Avions Pottier,Pottier P-60 Minacro,P60
P68T,Partenavia Construzioni Aeronautiche,Partenavia AP-68TP-300 Spartacus,P68T
PAR4,Paradise Indústria Aeronáutica Ltda,Paradise PA-1 / PA-2,PAR4
PAT2,American Tactical Aircraft Consultants,ATAC Patriot 2,PAT2
PAT4,"Piper Aircraft, Inc",Piper PA-31T3-500 T-1040,PAT4
PAY2,"Piper Aircraft, Inc",Piper PA-31T-620 Cheyenne,PAY2
PAY4,"Piper Aircraft, Inc",Piper PA-42-1000 Cheyenne 400,PAY4
PDIG,VSTOL Aircraft Corporation,Vstol SST-2000 Pairadigm,PDIG
PETL,Instituto Tecnológico de Buenos Aires / Proyecto Petrel SA,Aero ITBA Petrel,PETL
PGEE,Jerry Holcomb,Holcomb Perigee,PGEE
PK18,Polyteknikkojen Ilmailukerho,PIK-18 Sytky,PK18
PK21,Polyteknikkojen Ilmailukerho,PIK-21 Super Sytky,PK21
PK25,Polyteknikkojen Ilmailukerho,PIK-25 Varttimarkka,PK25
PONY,Reda-MDT Ltd,Reda Pony,PONY
PRBP,Howard Hughes Engineering,Hughes Australian Pocket Rocket PR-Bipe,PRBP
PRXT,Private Explorer Inc,Private Explorer T-Explorer,PRXT
PSTM,Peter Podesva,Podesva Stearman,PSTM
PTMS,Pitts Aerobatics,Pitts S-12 Super Stinker,PTMS
PUL6,Pulsar Aircraft Corporation,Pulsar Super Pulsar 600,PUL6
PW4,Politechnika Warszawska,Politechnika Warszawska PW-4,PW4
QEST,Omni-Weld Inc,Omni-Weld Questor,QEST
QR01,Centre National Quercy-Rouergue RSA,Quercy CQR-01,QR01
R109,Jim Kimball Enterprises Inc,Kimball DR-109 Rhino,R109
R11,Charles Rupert Joses,Rupert R-11,R11
R2,Samoloty-Amfibyi Universalnyye,Sau R-02 Robert,R2
R721,The Boeing Company,Boeing 727-100RE Super 27,R721
R722,The Boeing Company,Boeing 727-200RE Super 27,R722
R90T,Ruschmeyer Luftfahrttechnik GmbH,Ruschmeyer R-90-420AT,R90T
RARO,New Century Aerosport Inc,New Century Radial Rocket,RARO
RAV3,SA Ravin Composite Aircraft Manufacturers,Ravin Ravin 300,RAV3
RD20,Robert Denize,Denize RD-20 Raid Driver,RD20
REV6,Groen Brothers Aviation Inc,Groen Revcon 6G,REV6
RMOU,Hillberg Helicopters,Hillberg EH1-01 Rotormouse,RMOU
RNGR,Dutch Aeroplane Company VOF,Dac RangeR,RNGR
ROAR,Velocity Inc,Velocity Rocket Racer,ROAR
RP1,Mitsubishi Heavy Industries,Mitsubishi RP-1,RP1
RPUP,Little Wing Autogyros Inc,Little Wing LW-4 Roto-Pup,RPUP
RTA4,Royal Thai Air Force,RTAF-4 Chandra,RTA4
S10S,Stemme Gmbh & Co KG,Stemme S-10 Chrysalis,S10S
S202,Samarsky Gosudartvennyi Aerokosmitsesky Universitet,SGAU S-202,S202
S274,Institute of Industrial Research and Development (Iran),IRGC Shahed 274,S274
S330,Schweizer Aircraft Corporation,Schweizer 269D 333,S330
S39,Sikorsky Aircraft Corporation,Sikorsky S-39,S39
S4,Arctic Aircraft Company,Arctic S-4 Privateer,S4
S400,Samarsky Gosudartvennyi Aerokosmitsesky Universitet,SGAU S-400 Kapitan,S400
S434,Sikorsky Aircraft Corporation,Sikorsky S-434,S434
S51,Sikorsky Aircraft Corporation,Sikorsky H-5,S51
SA6E,Sreya Aviation,Sreya SA-6 Envoy,SA6E
SABA,Paravar Pars Company,Paravar Pars Saba,SABA
SACR,Barry Smith,Smith Acro Advanced,SACR
SALB,Korean Light Aircraft Corporation,Skygear Albatross,SALB
SASY,ProTech Aircraft Inc,ProTech PT-2 Sassy,SASY
SBM3,E & K Sp z oo,E & K SBM-03 Kos,SBM3
SCOM,Korean Light Aircraft Corporation,Skygear Comet,SCOM
SCW1,SCWAL SA,Scwal 101,SCW1
SF32,Scheibe Aircraft GmbH,Scheibe SF-32,SF32
SF35,Scheibe Aircraft GmbH,Scheibe SF-35,SF35
